"
                            هلال احمر
                            
",,77528359,,منطقه 12,"
                           میدان بهارستان ، نرسیده به بیمارستان طرفه ، کوچه دانشسرا ، درمانگاه غدیر 
                        ",,
"
                            آرایشی و بهداشتی  و خرازی
                            
",صباح و کامران زنگنه,77077584,9125492948,منطقه 4,"
                           تهرانپارس - قنات کوثر - مجتمع تجاری شهرک امید  پلاک: 19 
                        ",,
"
                            دفتر اسناد رسمی
                            
",نرجس مسجدی آرانی,77699657-77699658-77699659,,منطقه 8,"
                           نارمک، م هلال احمر، خ گلستان  پلاک: 130، طبقه دوم، واحد 2 
                        ",,دارد
"
                            پاکت سازی 
                            
",سید مهدی  حسینی,33986058,,منطقه 12,"
                           ظهیرالاسلام خ آزادیخواه   پلاک: 7 
                        ",,
"
                            تولید مبلمان، تعمیرات، رنگ کاری، رویه کوبی انواع مبلمان
                            
",فیروز صمدی,76264167,9199828184,حومه تهران,"
                           بومهن، داخل خ آتش نشانی، خ سنگ فروشها، آدرس2:کمرد، نرسیده به املاک چمستان، پ 761(گالری مبل صمدی) 
                        ",,
"
                            هوالرزاقفولادفنر ایثار، عرضه کننده و نوآوری در ضمینه فولادهای آلیاژی و فلزات رنگی از قبیل مس، برنج، آلومینیوم، مس برلیوم، مس کروم، مس زیرکونیوم، مس نیکل، مونل، بی متال، اینکونل، مولیبدن، انواع استیل و ورقهای لاتون شیم پلیت از سایز 20میکرون الی 5000میکرون در سختیهای مختلف طبق آنالیز جهت تولید و ساخت تجهیزات مخابراتی، صنایع الکترونیک، نفت، پتروشیمی، پالایشگاهی، نیروگاهی و آزمایشگاهی قرار میگیرد.

                            ضمناً اگر مشاوره فنی در راستای همکاری نیاز باشد در خدمت شما عزیزان میباشیم.از همکاری شما تولیدکنندگان گرامی سپاسگذاریم.فولادفنر ایثار
                        ",مهدی محمدخانی,33921713,9121089395,منطقه 12,"
                           خ امیر کبیر، خ پامنار، بعد از کوچه شهید خلیلی مفرد، بالاتر از بانک صادرات  پلاک: 359 
                        ",,
"
                            ماشین آلات دوزندگی -گلدوزی و برش 
                            
",بابک  مهرورزان,51049,9122773701,منطقه 12,"
                           خ خیام -روبروی ایستگاه مترو خیام   پلاک: 576 
                        ",,
"
                            آتلیه عکاسی و فیلمبرداری
                            
",مصطفی  خورشید فر,77901241,9121134445,منطقه 8,"
                           سی متری نارمک(آِیت)  - مابین دماوند و چهارراه تلفنخانه   پلاک: 123 
                        ",دارد,دارد
"
                            جوشکاری 
                            
",محمود  فریادی,22324612,,منطقه 4,"
                           مجیدیه شمالی خ کمالی بلواربیژن   پلاک: 50 
                        ",,
"
                            حکاکی روی انواع خودکار، هدایای تبلیغاتی، مصنوعات فلزی و غیر فلزی، تولید و چاپ انواع کیسه های تبلیغاتی و بسته بندی نایلون، نایلکس، سلفون ترس با فون، صدفی
                            
",سامان ذاکر حقیقی,55616933-55583454,9123383285,منطقه 12,"
                           خ 15 خرداد، پله های نوروزخان، سرای ملادهادی، ط 2، پ 6
",,
"
                            تولید و پخش انواع قطعات لاستیکی ، اورینگ، پکینگ، کاسه نمد و تفلون
                            
",بهزاد اکبری,33902228-33901914-33902723,9127386964,منطقه 12,"
                           خ سعدی، خ اکباتان کوچه ناظم الاطباء شمالی پاساژ تهران طبقه 2  پلاک: 108 
                        ",,
"
                            چرخ خیاطی

",سعید سنجری,55802447-55801525,9123158392,منطقه 12,"
                           خ خیام، بالاتر از مترو خیام، جنب بازار فرش  پلاک: 607 
                        ",,
"
                            عرضه شمعهای تزئینی
                            
",ناصر پوررنجبر,55183618-55183619,,منطقه 16,"
                           شوش، خ صابونیان، خ کاخ جوانان، مجتمع تجاری نور طبقه همکف، پلاک 307 
                        ",,
"
                             برشکاری انواع ورق روغنی، سیاه و گالوانیزه در ابعاد مختلف (ارزان تر از همه جا ) 
                            
",منوچهر اكبری و حسن ايمانی,55445846-55534071,9121203714,منطقه 20,"
                           بزرگراه آزادگان، جنب پل صنیع خانی، بازار بزرگ آهن مکان، خ پنجم غربی  پلاک: 1089و 1090 
                        ",,
"
                            سازنده و فروشنده انواع شیلنگ های فشارقوی، هیدرولیک، استیل، اتصالات هیدرولیک و پنوماتیک
                            
",کامران محبی,33955748-33955832,9121405539,منطقه 12,"
                           خ امیر کبیر کوچه ناظم الاطباء جنوبی پاساژ سبحان  پلاک: 40 
                        ",,
"
                            ساخت و تهیه انواع پایه سرویس و انگشتر، خرید و فروش متفرقه، انجام سفارشات طلا و جواهر، انجام میناکاری، سفارش و ساخت دستبندهای چرمی و سنگ های نیمه قیمتی
                            
",مسعود اسلامی,33991512-35047203,,منطقه 12,"
                           بازار، کوچه تکیه دولت، پاساژ تکیه دولت، ط 2-، روبروی آسانسور  پلاک: 203 
                        ",,
"
                            بسته بندی (صنایع)، کاملترین خط تولید بطری و جاروپت گلدار، ظروف عسل، حبوبات، ترشیجات ، لبنیات، بستنی و ظروف رستورانی بطری دارویی.بطری هتلی . ظرف ادویه
                            
",ناصر  میرزایی,77348511,9126476818,منطقه 4,"
                           تهرانپارس، خ اتحاد، ک هفدهم، خ بهار آزادی، نبش ک داوودی  پلاک: 11 
                        ",,دارد
"
                            پخش انواع پیپ، فندک، ست های تزئینی و لوکس کادوئی
                            
",سهیل نائینی,55616971-55617007,09123408893-09122937030,منطقه 12,"
                           بازار بین الحرمین، کوچه مسجدجامع،  پاساژ ضیائی طبقه دوم  پلاک: 5 
                        ",,
"
                            دستگاههای صنعتی خم کن و برش
                            
",غلامرضا کینوس,55415455,9121195542,منطقه 11,"
                           کارگر جنوبی، پایین تر از چهارراه لشگر  پلاک: 628 
                        ",,
"
                            انواع پرنده
                            
",فرشید سیفی,33798331,9121590983,منطقه 15,"
                           شهدا، خ 17 شهریور شمالی، پایین تر از پمپ بنزین، جنب بانک مسکن  پلاک: 1497 
                        ",,
"
                            بورس اوراق بهادار
                            
",,8832353,,منطقه 6,"
                           کریمخان زند- روبروی داروخانه 13 آبان-پ 84 -ط اول-ساختمان بانک پارسیان 
                        ",,
"
                            انبار کالا 
                            
",احمد شکوری,55230042,,منطقه 20,"
                           خ شهید رجایی  پلاک: 110 
                        ",,
"
                            لوازم خانگی کوچک
                            
",وحید ناظمی,33564454-33569102,,منطقه 12,"
                           سه راه امین حضور، جنب زیر گذر  پلاک: 39 
                        ",,دارد
"
                            گل فروشی
                            
",سیدامیر دبیری,55952043-55910328,,منطقه 20,"
                           شهرری، سه راه ورامین، روبروی امامزاده عبداله  پلاک: 115 
                        ",,
"
                            تهیه وتوزیع کلیه لوازم برودتی
                            
",علی قاسمیان,77629463-77629460,9122040263,منطقه 12,"
                           سعدی شمالی، خ برادران قائدی پاساژ بندر  پلاک: 163 واحد 3
                        ",,
"
                            آرایشگاه آقایان
                            
",اشكان قلیزاده,77321374-09109282720,9383670399,منطقه 4,"
                           تهرانپارس، ضلع شمال شرقی میدان پروین  پلاک: 57/2 
                        ",,
"
                            پارچه رومبلی و پرده ای خارجی
                            
",مرتضی طباطبایی,77514212-77513417-77632342-66241232,9121859122,منطقه 12,"
                           دروازه شمیران - خ بیست متری روشندلان -ک فروغی- پ 5شعبه 2:یافت آباد شرقی، خ شاندیز، ک طالقانی، مجتمع سادات، پ 22 گالری مرتضی 
                        ",,دارد
"
                            انواع لوازم برقی - لامپ - هواکش -  سیم و کابل -  آیفون تصویری
                            
",کامبیز نظری,44018351,,منطقه 5,"
                           فلکه دوم صادقیه، ابتدای آیت اله کاشانی، جنب بانک مسکن  پلاک: 66 
                        ",,دارد
"
                            پخش یراق تزئینی
                            
",اصغر سمیعی,55699548,9125006530,منطقه 12,"
                           بازار سلطانی، جامع دوم  پلاک: 45 و 43 
                        ",,
"
                            تولید و عرضه انواع طلا و جواهر 
                            
",عباسعلی  نصیری,55582258,9121000953,منطقه 12,"
                           15خرداد، بازار بزرگ  پاساژ خرداد  طبقه اول  پلاک: 105 
                        ",,
"
                            مبلمان و دکوراسیون داخلی
                            
",محسن دستجردی,76263633,,حومه تهران,"
                           جاجرود - بعداز پلیس راه منطقه صنعتی کمرد   پلاک: 455 
                        ",دارد,
"
                            تمبر
                            
",مسعود نوین فرح بخش,66400246 -66482814,,منطقه 11,"
                           خ ولیعصر ، بالاتراز چ امیراکرم، جنب پاساژ شرکا  پلاک: 1399 
                        ",,
"
                            پوشاک زیر زنانه
                            
",شعاعی,-,9121991206,منطقه 8,"
                           هفت حوض، اول خ شهید خاموشی پاساژ کویتی ها  پلاک: 32 
                        ",,
"
                            اتحادیه های توزیعی و خدماتی
                            
",,33901009,,منطقه 12,"
                           خیابان جمهوری مقابل خیابان فخر رازی پ 342 
                        ",,
"
                            تامین کننده لوازم جانبی جوش و برش، تعمیرات تخصصی دستگاه های جوش و برش، تعمیرات تورچ های Co2,ARG,PL، نمایندگی رسمی فروش و خدمات پس از فروش صبا الکتریک
                            
",نوید زندی,66815782,9126961420,منطقه 18,"
                           شادآباد، خ 17 شهریور، قبل از 15 متری اول- جنب داروسازی اسوه  پلاک: 49 
                        ",,دارد
"
                            واردات قطعات ماشین آلات راهسازی و دریایی، قطعات گیربکس های کلارک و ZF ، ادوات و تجهیزات دریائی و فراساحلی
                            
",مهدی اسدی,55406037,,منطقه 11,"
                           خ قزوین، چ عباسی، خ نادر خیری  پلاک: 12 
                        ",,
"
                            گل فروشی
                            
",عباس ابراهیمی,77071274,9123224637,منطقه 4,"
                           تهرانپارس، بلوار مطهری، بین 6 و 7 مرکزی  پلاک: 108 
                        ",,
"
                            لوازم شوینده و بهداشتی و ظروف یکبارمصرف
                            
",مهدی اسماعیل زاده,22849826,,منطقه 4,"
                           خ شریعتی، بالاتر از حسینیه ارشاد، کوچه احمد بیان  پلاک: 25 
                        ",,
"
                            عرضه انواع کپسول گاز مایع
                            
",حسین اخوان,-,9380995172,حومه تهران,"
                           جاده دماوند - منطقه صنعتی خرمدشت - حدفاصل بلوار اصلی خرمدشت و بانک صادرات  پلاک: 612 
                        ",,
"
                            تاکسی رانی
                            
",,26700859,,منطقه 3,"
                           خیابان شریعتی با لا تر از سه راه ضراب خانه  روبروی بانک شهر نبش بن بست ویرا  طبقه  3 
                        ",,
"
                            مرکز خرید و فروش انواع ماشین آلات صنعتی، کفاشی، سراجی و کمربندسازی
                            
",علی رضا محمدی,55609553-09125141481-09123386167,9395361032,منطقه 12,"
                           خ خیام، پاچنار کوچه منوچهرخانی پاساژ افسر  پلاک: 11 
                        ",,دارد
"
                            ابزارآلات کانال سازی، نخ نسوز، پرچ، تیپ و...کانال های فلکسیبل: کومبی، برزنتی، آلومینیومی، IFD، PL، الاستومری و عایق دارعایق های الاستومریک: حرارتی، صوتی و...کانکتورهای برزنتی و پی وی سی P.V.C، انواع پیچ سرمته، پیچ و مهره، پرچ، بست، نخ نسوز، برزنت، چسب، لرزه گیر، مته، الکترود و....
                            
",یونس قاسمی,66318321-66318109,9121463276,منطقه 18,"
                           بازارآهن شادآباد بهاران2 ، مجتمع کوثر بلوک 40، پلاک 320 
                        ",,
"
                            فروش قطعات موتورسیکلت شهاب
                            
",مهدی رسولی,55389479,9121769347,منطقه 11,"
                           میدان رازی، ابتدای خ مولوی پاساژ بهمن طبقه همکف  پلاک: 185 
                        ",,
"
                            شیرآلات، هود، سینک، اجاق، لوازم بهداشتی ساختمان، چینی آلات
                            
",داود  عدالت خواه,شعبه یک: 55609602-55150602 - شعبه دو : 66693278-66699205,,منطقه 12,"
                           شعبه1:خ خیام شمالی، روبروی دادگستری، پلاک 912، شعبه2:بازارآهن، مجتمع تجاری17شهریور، بلوکBد، ط همکف، پلاک135 
                        ",,
"
                            فروش کلیه پلیمرهای صنعتی، کلیه ورقهای نسوز، سیلیکونی ، وایتونی و..، طراحی و ساخت کلیه قطعات پلیمری و لاستیکی
                            
",منصور اکبری,33942986-7-33971085,9126830657,منطقه 12,"
                           خ اکباتان کوچه ناظم الاطباء  پلاک: 230 
                        ",,
"
                            ساخت و نصب تابلوهای تبلیغاتی
                            
",حسین خرمی,33711225-33034527,09121435691-09122184403-09123024563,منطقه 15,"
                           میدان خراسان، خ خاوران، اول خ عارف جنوبی(مخبر)، پلاک 4 
                        ",دارد,دارد
"
                            داروخانه و دراگ استور. طرف قرارداد با بیمه های تامین اجتماعی- خدمات درمانی- نیروی مسلح و بانک صادرات . تجهیزات پزشکی- ساخت انواع داروهای ترکیبی- محصولات آرایشی- بهداشتی و ارتوپدی 
                            
",دکتر سلیمان نامداری و خانم دکتر فاطمه مشاری,22809400 -22809300,,منطقه 1,"
                           پاسداران شمالی پایین تر از سه راه اقدسیه روبروی پمپ بنزین صاحبقرانیه  پلاک: 557 
                        ",,
"
                            کاغذ، مقوا
                            
",علی اکبر خسروی,33530118,9121784460,منطقه 12,"
                           خ ظهیرالاسلام پاساژ ظهیرالاسلام طبقه 1+ واحد 5
                        ",,
"
                            توزیع انواع بذر سبزیجات، صنعتی جات، کود، سموم و ادوات کشاورزی در ایران
                            
",سیدمحمود دهقانی,55903705-55951412,9121266809,منطقه 20,"
                           شهرری، میدان ساعی (شهرداری)، بلوار شهید آوینی  پلاک: 110 
                        ",دارد,
"
                            فروش لوازم گازسوزخانگی
                            
",یاراحمد اقدامی,22511616,,منطقه 4,"
                           خ رسالت، 16متری دوم شمالی، خ محمودی  پلاک: 164 
                        ",,
"
                            خبرگزاری ها
                            
",,66417325,,منطقه 6,"
                           تهران - خيابان انقلاب اسلامي - خيابان فخررازي - خيابان شهداي ژاندارمري - شماره 155 
                        ",,
"
                            آبکاری 
                            
",آفاق,22443206,,منطقه 1,"
                           مینی سیتی م محلاتی خ مروارید  پاساژ نخل   پلاک: 140 
                        ",,
"
                            بیمارستان
                            
",,88937902,,منطقه 6,"
                           کریمخان- خ به آفرین 
                        ",,
"
                            گوشت گوسفند و گوساله و شتر و شترمرغ و بوقلمون - دام زنده - سفارشات پذیرفته می شود
                            
",مهرداد باقری,22987204 -22987206 -22987208,,منطقه 4,"
                           تپه شمس آباد - بالای پل همت (سمت چپ) - بین مافی و فرزاد  پلاک: 848 
                        ",,
"
                            عرضه انواع ماهی و آکواریوم تزئینی
                            
",دهقانی,77606256-77608703,,منطقه 7,"
                           شریعتی - روبروی بهار شیراز - پشت سینما ایران  پلاک: 101 
                        ",,
"
                            کتاب فروشی
                            
",محمود جلیلی,66954941-2-66482314,9364581212,منطقه 11,"
                           م انقلاب، خ انقلاب، خ 12 فروردین  پلاک: 271 طبقه 2 واحد 2 
                        ",,
"
                            پوشاک زنانه 
                            
",بهبود میرزایی,55630158-55593049,,منطقه 12,"
                           خ 15خرداد، پله نوروزخان، نرسیده به چهارسوق بزرگ  پلاک: 25 
                        ",,
"
                            تعزیه خوانی و آموزش تعزیه
                            
",سیدحسین خاتمی,33724050-33708367,9120219738,منطقه 14,"
                           خ 17 شهریور - اتوبان شهید محلاتی - روبروی ورزشگاه شهید سعیدی -ساختمان یاران   پلاک: 397 طبقه همکف 
                        ",دارد,دارد
"
                            تاکسی رانی
                            
",,476,,منطقه 8,"
                           رسالت - خ جانبازان غربي - نبش خ كرمان شمالي- ساختمان معاونت ترافيك (جنب راهور منطقه 8) 
                        ",,
"
                            گروه  مشاورین ساختمان 
                            
",محمدرضا  فریدی,44245520,,منطقه 2,"
                           اشرفی اصفهانی ابتدای مرزداران روبروی املاک نوین غرب   پلاک: 227 
                        ",,
"
                            جامعه حمایت از بیماران ام.اس ایران1 - حمایت از بیماران ام.اس و خانواده آنان2 - اطلاع رسانی زوایای مختلف بیماری ام.اس به آحاد عمومی3 - ایجاد درمانگاه تخصصی، خیریه و مرکز جامع توانبخشی ویژه بیماران ام.اس 
                            
",, 88311168-70 و 88311178,,منطقه 6,"
                           تهران میدان هفت تیر، خ کریم خان نبش خیابان خردمند شمالی (جنب داروخانه 13 آبان) پلاک75 www.ms-iram.ir 
                        ",دارد,دارد
"
                            ترازو
                            
",مرتضی اثنی عشری,33935625,,منطقه 12,"
                           لاله زار جنوبی -نرسیده به ک باربد پاساژ نور طبقه دوم  پلاک: 3/7 
                        ",,
"
                            واردات و فروش انواع سیم بکسل -زنجیر- جرثقیل- تسمه حمل بار 
                            
",فرشید حبیبی,55416641,,منطقه 11,"
                           م قزوین-خ قزوین-روبروی خ مخصوص  پلاک: 388 
                        ",,
"
                            بورس انواع لوازم گازسوز
                            
",حسن اکبری,55623829,,منطقه 12,"
                           مصطفی خمینی پائین تراز چ سیروس   پلاک: 194 
                        ",,
"
                            پارچه مبلی
                            
",محمد ذوقی,66208718-66326426-66140289-66140276,9125931902,منطقه 18,"
                           یافت آباد شرقی، خ شاندیز کوچه 12 متری طالقانی  پلاک: 7 
                        ",,
"
                            پخش انواع جوراب زنانه، مردانه، بچه گانه(چهارفصل)، زیرپوش مردانه و زنانه
                            
",هومن محمودیان,55630986-55630981,9127383614,منطقه 12,"
                           بازار بزرگ، بازار عباس آباد، سرای لطفی پور  پلاک: 1/7 و 1/8 
                        ",,
"
                            وکالت و مشاور حقوقی در کلیه دعاوی ایرانیان خارج از کشورقراردادهای داخلی و بین المللیقراردادهای نفتیدعاوی حقوقی و کیفریدعاوی داخلی و بین المللیداوریثبتورشکستگیشرکتهاچکاسناد تجاریخانوادهارثاملاک و مستغلاتوصول مطالبات امور حقوقی دولتی

",امیرعلی حلمی,88305873-88305874,9122787199,منطقه 6,"
                           زیر پل کریمخان، حدفاصل خ حسینی و خ عسجدی  پلاک: 57 
                        ",,دارد
"
                            پخش کلیه مفتول آلات صنعتی  
                            
",سیدجلال علوی,33560776,,منطقه 12,"
                           مصطفی خمینی - روبروی باربری اتوشهپر  پلاک: 299 
                        ",,
"
                            تهیه و توزیع انواع فولادهای آلیاژی و استنلس استیل
                            
",یوسف فتحی,66675709-66675708-66673870-66673879,,منطقه 17,"
                           جاده قدیم کرج، بازار آهن شادآباد، بلوک 2   پلاک: 31 
                        ",,
"
                            سکه و صرافی

",محمد بهگوی,44265611-44242627,9123473398,منطقه 5,"
                           بین فلکه اول ودوم صادقیه پاساژ طلا و جواهر شبنم طبقه زیرین  پلاک: 18 
                        ",دارد,دارد
"
                            خرید و فروش لوازم خانگی
                            
",کدخدائی,88289699,,منطقه 2,"
                           بلوار شیخ فضل ا.. نوری-نرسیده به پل ستارخان انتهای حاجی پور امیر  پلاک: 15 
                        ",,
"
                            سازنده و فروشنده انواع شلنگ های فشار قوی و اتصالات هیدرولیک و پنوماتیک
                            
",محمدرضا علیپور,33988376- 09198180960,9126793908,منطقه 12,"
                           خ امیرکبیر - جنب بانک مسکن  کوچه ناظم الاطباجنوبی پاساژ شجاع طبقه 1  پلاک: 17 
                        ",,
"
                            خدمات آمبولانس ها و فوریتهای پزشکی
                            
",,22567771,,منطقه 1,"
                           پاسداران   نبش خیابان بهستان چهارم - پلاک 4 - طبقه سوم 
                        ",,
"
                            تامین کننده قطعات الکترونیکی به صورت مستقیم از بزرگترین شرکت هایتولید کننده با قیمت مناسب و سریعترین زمان تحویل با پکیچ های اورجینال سازنده
                            
",بختیاری,88942366,9331515613,منطقه 6,"
                           میدان ولیعصر، خیابان شقایق، بن بست یکم  پلاک: 4 طبقه 1 واحد 1
                        ",دارد,دارد
"
                            روزنامه
                            
",,همشهری,,منطقه 6,"
                           خیابان ولیعصر-نرسیده به پارک وی-کوچه تورج-شماره14 
                        ",,
"
                            فروش عینک های طبی و آفتابی، عینک سازی
                            
",سیدسعید موسوی,44115496,9109213690,منطقه 5,"
                           آیت اله کاشانی، بین لاله و شقایق، روبروی درمانگاه بیدار  پلاک: 10 
                        ",,
"
                            دفتر ازدواج
                            
",مجید محمدرضایی,44466622,9123343123,منطقه 5,"
                           جنت آبادجنوبی ، 35 متری لاله شرقی  پلاک: 116 طبقه اول 
                        ",,
"
                            پلاسکو
                            
",عارف خرقانی,55315729,,منطقه 16,"
                           نازی آباد، خ مدائن، نرسیده به چهارراه دخانیات  پلاک: 494 
                        ",,
"
                            پرچم مذهبی
                            
",خزانه داری,33920362,,منطقه 12,"
                           خ ناصر خسرو  پلاک: 14 
                        ",,
"
                            صندوق نسوز
                            
",معصومی,55582601,,منطقه 12,"
                           15خرداد- جلوخان بزرگ مسجد امام خمینی  پلاک: 39 
                        ",,
"
                            قطعات لوازم خانگی و جاروبرقی
                            
",محمد ربیع,66707686,,منطقه 12,"
                           جمهوری - ساختمان آلومینیوم  پلاک: 828 طبقه 8 
                        ",,
"
                            انواع آهن آلات ساختمانى و مجهز به کارگاه براى اجراى اسکلت
                            
",علی رستمی,66317215-66317216-66317217,09121447413-09122104772,منطقه 18,"
                           بازار آهن شادآباد، مجتمع بهاران 2، بلوک 14پلاک 66 
                        ",,دارد
"
                            تولیدکننده انواع عایق رطوبتی پلیمری و قیر 
                            
",امیرحسین  شفیعی,-,,حومه تهران,"
                           دلیجان - کیلومتر 15 جاده تهران -شهرک صنعتی شهدای راونج  
                        ",,
"
                            وکیل پایه یک دادگستری تهران، کارشناس ارشد حقوق خصوصی دانشگاه تهرانوکیل امور قراردادها

",خسرو صالحی,88979571,9121392328,منطقه 6,"
                           بلوار کشاورز، خ وصال شیرازی  پلاک: 62 طبقه 3 
                        ",دارد,
"
                            چرخ خیاطی و نمایندگی ماشین آلات دوخت و برش جویتا
                            
",حبیب صباغی,55637969-55631678,9123489499,منطقه 12,"
                           خ خیام، روبروی متروی خیام   پلاک: 582 
                        ",,
"
                            خدمات مجالس 
                            
",,22833943,,منطقه 1,"
                           لواسانی تقاطع خ بازدارخفربین  کوچه هوشمند   پلاک: 2 طبقه واحد1 
                        ",,
"
                            لوازم روشنایی
                            
",عماد رعیت,09109273575-33943499-33917717,,منطقه 12,"
                           سعدی جنوبی - لاله زار جنوبی کوچه بوشهری پاساژ نیروصنعت  پلاک: 3/24 
                        ",,
"
                            خدمات پزشکی در محل
                            
",,22012449,,منطقه 1,"
                           آفريقا (جردن) - بالاتر از اسفنديار - برج صبا - ط سوم - واحد 32 
                        ",,
"
                            انجام کلیه امور بهداشتی و درمانی و جراحی های تخصصی، رادیولوژی
                            
",دکتر داود شریفی,26543850,9123194096,حومه تهران,"
                           لواسان، بلوار امام خمینی، شورکاب، جنب بانک پاسارگاد  پلاک: 1139 
                        ",,
"
                            کولر گازی
                            
",فرهاد فروتنی,33555804,,منطقه 12,"
                           سه راه امین حضور - خ امیرکبیر شرقی - مقابل ساختمان خلیج فارس  پلاک: 153 
                        ",,
"
                            خشکشویی و سفیدشویی
                            
",احمد بیگی,77601740,9122753004,منطقه 7,"
                           خ شریعتی، پایین تر از بهار شیراز، نبش کوچه حسینی نژاد  پلاک: 295 
                        ",,
"
                            کتابفروشی
                            
",سیده معصومه پورسیدی,66953155,9121346851,منطقه 11,"
                           ضلع جنوب شرقی میدان انقلاب، روبروی سینما بهمن  پلاک: 17 
                        ",,
"
                            داروهای گیاهی و عرقیات، روغن ها و داروهای گیاهی مورد تایید وزارت بهداشت
                            
",رضیه جوشقانی,77479781,9393694382,منطقه 13,"
                           تهران نو، خ مهربار ، تقاطع میدان اطلاعات  پلاک: 130 
                        ",,دارد
"
                            تاکسی سرویس 
                            
",علیرضا  رستگار پناه,22027490-22024343,9121130245,منطقه 2,"
                           خ ولیعصر - روبروی پارک ملت - برج سایه   پلاک: 18 
                        ",,دارد
"
                            تولیدکننده انواع شلوار و بلوزهای اسپرت زنانه، پوشاک زنانه
                            
",حاتم حبیبی,(بازار عباس آباد: 55699563) - (جهموری: 66175643),9123215289,منطقه 12,"
                           بازار عباس آباد، کوچه مهدوی، پاساژ پارسیان، ورودی 3، زیرزمین اول پلاك 2/70 - جمهوري پاساژ حجت جديد طبقه2- پلاكــ 316 
                        ",دارد,دارد
"
                            آجرنما، آجرنسوز، آجر قزاقی، آجر سنتی، آجر بهمنی، آجر لعابی، آجر شومینه، آجر سفالی
                            
",نیما مرادی فرد,33433478,9123852133,منطقه 14,"
                           میدان خراسان، ابتدای خاوران، خ قنطار، پلاک 47 
                        ",,دارد
"
                            دوربین های مداربسته - دزدگیر اماکن -انتقال تصویر روی اینترنت و موبایل- مشاوره، طراحی، بازدید رایگان
                            
",مهدی رنجبر,33776234-33776235,9125119206,منطقه 20,"
                           شهرری - م معلم خیابان کوی اسلام   پلاک: 63 
                        ",دارد,دارد
"
                            تزئینات و دکوراسیون داخلی 
                            
",محمدرضا طاهری,55332224,,منطقه 16,"
                           شهید رجایی - ایستگاه ورزشگاه  پلاک: 528 
                        ",,
"
                            وارد کننده اجناس دکوری تزیینی فانتزی ولوازم لوکس آشپزخانه
                            
",جواد ربیعی,55336650-09129052636,9192169261,منطقه 2,"
                           شوش خیابان صابونیان پاساژشهرداری منفی1 واحد22  پلاک: 22 طبقه -1 
                        ",,
"
                            دوربین
                            
",رضا دیزجی,66754699,,منطقه 11,"
                           جمهوری- نرسیده به پل حافظ- نبش ک رم پاساژ پردیس طبقه همکف  پلاک: 4 
                        ",,
"
                            پیرایش مردانه، گریم داماد، گلت، رنگ و انواع حالت مو
                            
",علی فلاح,9307171706,9197171706,منطقه 18,"
                           شهرک ولیعصر، خ بازرگان، روبروی ک رضوانی  پلاک: 201 
                        ",,
"
                            ساخت جعبه های مقوایی
                            
",مهران یامی,36612754,,منطقه 12,"
                           خ 15 خرداد غربی - بازارچه عودلاجان  کوچه حکیم - بن بست چهارم   پلاک: 2 طبقه زیرزمین 
                        ",,
"
                            نان فانتزی
                            
",علیرضا سجادیان,-,9129289300,حومه تهران,"
                           بومهن، بلوار امام خمینی، جنب پل رودخانه  پلاک: 559 
                        ",,
"
                            تالار پذیرایی
                            
",سعید قربانی,44201435,9121114959,منطقه 2,"
                           ستارخان، پشت برق آلستوم، سازمان آب شرقی  پلاک: 18 
                        ",,
"
                            سونوگرافی ساده، رنگی(کالرداپلر)، انومالی اسکن NT ، انواع عکس های ساده و رنگی،  ساعت 8:30 الی 20
                            
",دکتراکبر سنگی,56110209,,حومه تهران,"
                           اسلامشهر، شهرک محمدیه، نبش گلستان سوم  پلاک: 689 
                        ",,
"
                            مرغ بریان
                            
",فرید محفوظیان,26760164-22113030,9121540051,منطقه 2,"
                           سعادت آباد ، بالاتر از م کاج، روبروی بیمارستان مدرس، نبش باغستان دوم  پلاک: 185 
                        ",,
"
                            ریخته گری آلومینیوم
                            
",,44003214,,منطقه 5,"
                           بزرگراه حکیم، بین اشرفی اصفهانی وستاری کوچه مریم  پلاک: 9 
                        ",,
"
                            فروش لوازم گاز سوز
                            
",حضرتی,33906294,,منطقه 12,"
                           امیر کبیر-  پاساژ کاشانی طبقه همکف  پلاک: 95 
                        ",,
"
                            لوازم و تجهیزات دام و طیور 
                            
",مجید  جعفری,66946898,,منطقه 6,"
                           خ آزادی ، خ توحید   پلاک: 9 
                        ",,
"
                            عمده فروشی اجناس عطاری و ادویه جات
                            
",مهدی وزیر نظامی,55626163-55803839,,منطقه 12,"
                           پانزده خرداد، بازار مسجد جامع، مقابل مسجد جامع  پلاک: 70 و 72 
                        ",,
"
                            تولیدکننده انواع سنگهای تراورتن و مرمریت
                            
",رضا دانشی,33894961,,منطقه 15,"
                           بزرگراه بعثت، فدائیان اسلام، بالاتراز بازارسنگ فاطمیه  پلاک: 823 
                        ",,
"
                            تهیه و توزیع انواع رابط و اتصالات صوتی و تصویری - کامپیوتر و شبکه
                            
",فرامرز فیض آسا,66724719-66760429,9126341525,منطقه 11,"
                           جمهوری-تقاطع حافظ   پاساژ بزرگمهر طبقه 2  پلاک: 92 
                        ",,دارد
"
                            قطعات الکترونیک
                            
",علی باق زاده,66717975,,منطقه 12,"
                           جمهوری - بعداز پل حافظ  پاساژ امجد طبقه اول  پلاک: 19 
                        ",,
